sender,timestamp,receiver_id,category
Türker Yılmaz,2023-01-08 03:05:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 03:05:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 03:05:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 03:06:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 03:06:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 03:08:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:41:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:41:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:41:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:41:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:42:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:42:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:42:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:43:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:44:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:44:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:44:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:45:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:45:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:45:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:45:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:45:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:46:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:46:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:46:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:46:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:47:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:47:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:47:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:47:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:48:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:49:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:49:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:49:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:49:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:49:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:50:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:50:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:50:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:50:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:50:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:51:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:51:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 04:51:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 05:22:00+03:00,874372399830554,close_high_school_friends
Türker Yılmaz,2023-01-08 06:05:00+03:00,879389196799175,close_high_school_friends
Türker Yılmaz,2023-01-08 06:05:00+03:00,954828095921951,close_college_friends
Türker Yılmaz,2023-01-08 06:12:00+03:00,947361696668591,close_college_friends
Türker Yılmaz,2023-01-08 06:17:00+03:00,879389196799175,close_high_school_friends
Türker Yılmaz,2023-01-08 06:22:00+03:00,954828095921951,close_college_friends
Türker Yılmaz,2023-01-08 06:24:00+03:00,947361696668591,close_college_friends
Türker Yılmaz,2023-01-08 08:57:00+03:00,954828095921951,close_college_friends
